seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
348,80000,C,4700,4750,-1,True,38,0.8275,0.0398,3,1210
349,80000,B,3450,-1,-1,True,30,0.0000,0.1240,18,1056
350,80000,D,3400,3450,5000,True,38,0.7209,0.0412,5,1203
351,80000,B,3550,-1,-1,True,16,0.0000,0.1792,18,1064
352,80000,C,4650,4700,-1,True,38,0.7913,0.0414,3,1203
353,80000,C,5250,5300,-1,True,36,0.8504,0.0385,3,1207
354,80000,D,3700,4050,5300,True,38,0.8410,0.0416,6,1211
355,80000,D,5150,5200,10900,True,41,0.7111,0.0419,6,1210
356,80000,D,3500,3700,4450,True,41,0.6823,0.0412,5,1204
357,80000,D,4150,4200,5750,True,37,0.7973,0.0433,4,1201
358,80000,C,7850,7900,-1,True,34,0.9500,0.0412,3,1205
359,80000,D,3900,3950,5400,True,40,0.8046,0.0416,4,1213
360,80000,D,3650,3700,5050,True,38,0.7981,0.0424,5,1210
361,80000,D,3750,14200,16600,True,36,0.8802,0.0402,13,1170
362,80000,D,3800,3850,4750,True,37,0.8874,0.0409,5,1208
363,80000,C,5200,5250,-1,True,37,0.8113,0.0412,3,1205
364,80000,D,4300,4350,5850,True,39,0.7898,0.0397,4,1213
365,80000,D,4150,4200,5400,True,38,0.8133,0.0416,7,1211
366,80000,D,4200,4250,8600,True,37,0.7747,0.0403,4,1204
367,80000,D,4050,4100,5550,True,40,0.7002,0.0408,4,1210
368,80000,C,8950,9000,-1,True,40,0.7311,0.0407,3,1213
369,80000,D,3800,3850,5150,True,39,0.7572,0.0400,5,1206
370,80000,D,4100,4150,7000,True,38,0.7500,0.0396,5,1201
371,80000,C,5050,5100,-1,True,43,0.6915,0.0432,4,1231
372,80000,D,3750,3800,5250,True,42,0.6515,0.0417,4,1219
373,80000,C,4850,4900,-1,True,41,0.7088,0.0392,3,1215
374,80000,D,4850,4900,10400,True,39,0.7552,0.0421,5,1199
375,80000,C,5300,5350,-1,True,37,0.8361,0.0422,3,1218
376,80000,D,4800,4850,5950,True,36,0.8986,0.0427,4,1198
377,80000,D,3700,4100,5250,True,42,0.6463,0.0428,5,1209
378,80000,D,3600,3650,5150,True,39,0.8086,0.0387,4,1210
379,80000,D,3900,4200,5100,True,35,0.8878,0.0422,5,1201
380,80000,D,3700,3750,5200,True,38,0.7687,0.0415,5,1209
381,80000,D,4650,4700,10300,True,38,0.7926,0.0435,5,1201
382,80000,C,4900,4950,-1,True,36,0.8859,0.0404,3,1214
383,80000,D,7700,7750,21950,True,38,0.7779,0.0407,5,1212
384,80000,C,5600,5650,-1,True,38,0.7714,0.0441,3,1208
385,80000,D,3800,3850,5150,True,37,0.8005,0.0409,4,1208
386,80000,D,9100,9150,23750,True,43,0.6375,0.0388,4,1204
387,80000,D,3600,3650,5450,True,41,0.7005,0.0436,6,1199
388,80000,C,5600,5650,-1,True,37,0.8538,0.0407,3,1199
389,80000,D,3750,3950,5250,True,38,0.8349,0.0392,4,1208
390,80000,C,4950,5000,-1,True,43,0.6919,0.0414,4,1216
391,80000,D,4200,4250,6000,True,37,0.8861,0.0414,4,1211
392,80000,D,4150,4200,5850,True,42,0.6633,0.0407,5,1202
393,80000,D,3800,3850,5800,True,38,0.8555,0.0408,4,1208
394,80000,D,3950,4050,5700,True,41,0.7193,0.0397,4,1213
395,80000,D,4250,4300,6050,True,40,0.6903,0.0391,5,1209
396,80000,D,3800,3850,5100,True,40,0.7286,0.0406,5,1210
397,80000,D,4150,4200,5600,True,38,0.7741,0.0413,5,1207
398,80000,D,3850,3900,4900,True,38,0.7708,0.0389,4,1202
399,80000,D,3700,4100,4750,True,43,0.6709,0.0403,7,1210
400,80000,B,3400,-1,-1,True,11,0.0000,0.1259,14,1081
401,80000,D,3750,3800,4950,True,37,0.7971,0.0404,6,1207
402,80000,D,3850,3900,5250,True,39,0.8165,0.0420,5,1210
403,80000,D,4250,4300,5300,True,38,0.7672,0.0395,6,1199
404,80000,D,4200,4250,5400,True,37,0.7656,0.0398,7,1206
405,80000,D,4450,4500,5650,True,39,0.8108,0.0407,5,1211
406,80000,D,4500,4550,5700,True,36,0.8312,0.0387,4,1202
407,80000,D,4000,4050,5500,True,38,0.8336,0.0422,4,1217
408,80000,D,3800,3850,5250,True,37,0.8704,0.0409,5,1207
409,80000,D,4250,4300,5850,True,43,0.6647,0.0386,5,1213
410,80000,D,5200,5250,6400,True,38,0.7813,0.0414,5,1200
411,80000,C,9600,9650,-1,True,39,0.7975,0.0401,4,1225
412,80000,D,4200,4250,5950,True,37,0.8479,0.0405,4,1212
413,80000,D,3700,3750,5550,True,43,0.6257,0.0416,4,1205
414,80000,D,4450,4500,5450,True,40,0.7423,0.0416,7,1199
415,80000,D,3750,3800,5750,True,40,0.7522,0.0409,4,1217
416,80000,C,4650,4700,-1,True,36,0.8945,0.0418,3,1206
417,80000,D,3850,3900,5100,True,39,0.7670,0.0404,5,1203
418,80000,D,5250,5300,15300,True,38,0.8397,0.0411,4,1206
419,80000,C,5300,5350,-1,True,39,0.7664,0.0432,4,1201
420,80000,C,5200,5250,-1,True,37,0.7942,0.0408,4,1201
421,80000,C,4200,4250,-1,True,42,0.6163,0.0389,4,1207
422,80000,D,3600,3650,4750,True,44,0.6573,0.0402,6,1217
423,80000,D,3800,4150,4800,True,38,0.7780,0.0413,6,1203
424,80000,D,4150,4200,5300,True,41,0.6948,0.0426,4,1206
425,80000,D,3500,3850,4700,True,39,0.7593,0.0416,5,1197
426,80000,D,3600,3650,5150,True,39,0.7659,0.0441,5,1205
427,80000,C,4750,4800,-1,True,39,0.7948,0.0400,3,1212
428,80000,D,4000,4050,5600,True,41,0.7220,0.0413,5,1215
429,80000,C,5350,5400,-1,True,39,0.7442,0.0420,3,1207
430,80000,D,3700,3900,5050,True,37,0.8045,0.0411,5,1201
